timestamp,experiment_tag,input_len,output_len,num_prompts,max_concurrency,request_rate,duration_s,successful_requests,req_throughput,input_tok_throughput,output_tok_throughput,total_tok_throughput,concurrency,mean_e2e_ms,median_e2e_ms,p90_e2e_ms,p99_e2e_ms,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,max_itl_ms
2026-06-10T08:52:17.745005,tp4_i128_o32,128,32,100,32,inf,7.93,100,12.61,774.60,189.08,963.68,30.91,2452.34,2247.46,4909.72,6072.10,481.47,326.70,1032.86,142.71,156.75,266.06,141.08,27.08,381.55,525.58,867.92
2026-06-10T08:52:36.740648,tp4_i128_o64,128,64,100,32,inf,8.82,100,11.34,696.80,315.23,1012.04,29.42,2594.84,2262.53,5202.77,7058.76,285.81,250.37,538.81,87.98,98.10,132.23,86.25,26.74,289.98,457.61,459.11
2026-06-10T08:52:59.430946,tp4_i128_o128,128,128,100,32,inf,12.67,100,7.89,484.86,481.94,966.80,29.85,3783.54,3686.59,6418.10,9084.86,269.59,188.03,537.09,58.99,63.93,92.41,58.52,26.18,212.79,374.15,544.93
2026-06-10T08:53:29.440463,tp4_i128_o256,128,256,100,32,inf,19.62,100,5.10,313.26,637.62,950.88,27.78,5449.16,5269.70,9982.11,12184.83,262.08,157.61,577.85,41.97,43.43,55.27,41.81,26.19,120.42,213.37,388.56
2026-06-10T08:54:12.340573,tp4_i128_o512,128,512,100,32,inf,32.49,100,3.08,189.13,794.69,983.82,26.80,8706.04,8822.96,15156.30,18046.67,237.83,111.11,543.46,33.70,34.12,47.52,32.93,26.17,116.58,119.39,390.97
2026-06-10T08:54:29.090390,tp4_i256_o32,256,32,100,32,inf,7.26,100,13.77,1780.19,206.53,1986.72,30.79,2236.52,2053.31,4466.09,5453.51,424.00,255.06,1176.43,140.37,131.95,539.61,129.74,27.49,384.27,685.38,1458.32
2026-06-10T08:54:48.315821,tp4_i256_o64,256,64,100,32,inf,8.99,100,11.12,1438.02,309.20,1747.22,29.52,2653.96,2260.88,5299.15,7215.50,372.20,195.45,1082.30,88.73,94.67,165.60,85.24,27.07,294.05,499.07,1008.04
2026-06-10T08:55:11.075707,tp4_i256_o128,256,128,100,32,inf,12.70,100,7.87,1017.89,480.88,1498.77,29.86,3793.27,3590.00,6644.18,9328.38,340.04,178.14,1005.51,60.03,63.34,118.66,57.51,26.40,210.37,297.41,929.44
2026-06-10T08:55:41.223613,tp4_i256_o256,256,256,100,32,inf,19.81,100,5.05,652.74,631.48,1284.22,27.89,5523.42,5114.26,10021.73,12539.23,328.90,113.66,1006.04,43.01,44.89,62.73,41.87,26.30,119.29,207.81,929.59
2026-06-10T08:56:25.495828,tp4_i256_o512,256,512,100,32,inf,33.59,100,2.98,384.88,768.63,1153.51,26.88,9028.65,9352.67,15942.41,18224.66,416.28,111.67,1343.37,34.29,34.56,50.53,33.49,26.08,117.05,120.72,432.03
2026-06-10T08:56:44.451894,tp4_i512_o32,512,32,100,32,inf,9.11,100,10.98,2909.64,164.72,3074.36,31.02,2825.26,2582.08,5634.75,7096.03,571.46,386.20,1811.41,172.84,161.91,657.80,161.33,28.29,502.65,994.03,2006.00
2026-06-10T08:57:04.989997,tp4_i512_o64,512,64,100,32,inf,10.65,100,9.39,2488.45,261.08,2749.53,29.88,3181.42,2643.80,6066.38,8766.50,508.68,269.77,1792.88,106.00,109.61,267.49,99.88,27.29,359.66,498.55,1716.95
2026-06-10T08:57:29.609531,tp4_i512_o128,512,128,100,32,inf,14.39,100,6.95,1841.18,424.42,2265.61,30.10,4332.44,4280.74,7561.92,10515.80,472.90,217.64,1732.21,68.37,67.39,194.72,64.28,26.38,231.29,361.64,1658.21
2026-06-10T08:58:01.039520,tp4_i512_o256,512,256,100,32,inf,21.03,100,4.75,1259.85,594.72,1854.57,28.11,5912.66,5501.85,10612.79,13580.80,452.46,145.84,1723.54,46.41,45.51,85.88,44.02,26.24,125.76,217.72,1649.02
2026-06-10T08:58:45.644930,tp4_i512_o512,512,512,100,32,inf,34.23,100,2.92,774.17,754.39,1528.56,27.01,9244.80,9466.23,16398.69,18431.70,427.90,121.27,1703.10,35.28,35.97,48.27,34.29,26.21,117.69,147.53,1625.74
2026-06-10T08:59:08.091597,tp4_i1024_o32,1024,32,100,32,inf,13.07,100,7.65,3868.20,114.76,3982.96,31.36,4098.41,3639.84,8764.68,10551.12,937.25,586.38,3179.28,246.66,235.68,1163.93,226.44,28.09,784.75,1833.15,3520.52
2026-06-10T08:59:32.613821,tp4_i1024_o64,1024,64,100,32,inf,14.65,100,6.83,3451.58,189.78,3641.36,30.45,4460.49,3660.94,8710.98,12597.62,829.14,452.49,3201.32,150.45,147.78,448.04,135.70,26.89,522.16,728.67,3217.46
2026-06-10T09:00:00.208283,tp4_i1024_o128,1024,128,100,32,inf,17.29,100,5.78,2924.55,353.30,3277.85,30.41,5256.90,4914.50,8837.21,13467.86,750.20,222.32,3129.66,83.71,78.34,291.15,75.06,26.56,278.60,440.18,3138.29
2026-06-10T09:00:34.705470,tp4_i1024_o256,1024,256,100,32,inf,24.12,100,4.15,2096.19,518.56,2614.75,28.60,6897.85,6370.36,12050.12,16325.88,720.31,200.56,3125.49,55.10,51.77,136.04,49.80,26.44,207.71,296.82,3039.71
2026-06-10T09:01:22.353002,tp4_i1024_o512,1024,512,100,32,inf,37.51,100,2.67,1347.78,688.27,2036.05,27.44,10292.74,10503.14,18129.23,21003.31,703.03,163.96,3129.72,38.69,39.47,59.96,37.29,26.50,119.90,220.76,3050.69
2026-06-10T09:01:55.235104,tp4_i2048_o32,2048,32,100,32,inf,23.21,100,4.31,4693.54,64.63,4758.17,31.53,7318.33,6644.44,15108.84,18458.59,1709.54,1029.69,6598.23,442.89,402.28,1953.09,402.93,30.55,1593.20,3271.81,6369.56
2026-06-10T09:02:30.668883,tp4_i2048_o64,2048,64,100,32,inf,25.24,100,3.96,4315.31,110.13,4425.44,31.08,7846.41,6728.65,14947.15,22189.90,1527.26,687.93,6058.82,262.67,247.99,766.42,236.49,28.46,993.85,1635.77,5821.52
2026-06-10T09:03:08.891770,tp4_i2048_o128,2048,128,100,32,inf,27.94,100,3.58,3899.08,218.63,4117.72,31.01,8662.15,8340.05,14286.55,22655.35,1410.33,531.81,5900.27,136.98,127.17,502.58,120.88,27.24,551.36,940.31,5671.03
2026-06-10T09:03:53.524346,tp4_i2048_o256,2048,256,100,32,inf,34.17,100,2.93,3187.68,366.03,3553.71,29.60,10113.44,9019.42,18331.13,24530.86,1350.50,421.17,5689.60,81.13,74.52,243.97,70.67,27.04,366.96,631.58,5459.97
2026-06-10T09:04:52.681871,tp4_i2048_o512,2048,512,100,32,inf,48.02,100,2.08,2268.24,537.65,2805.89,28.38,13626.91,13297.28,23962.84,28353.60,1298.35,321.26,5669.31,50.03,51.46,83.06,47.95,27.01,228.40,460.29,5436.59
2026-06-10T09:05:43.394953,tp4_i4096_o32,4096,32,100,32,inf,40.58,100,2.46,5156.85,36.96,5193.81,31.69,12862.36,12420.80,25121.14,33617.43,3420.26,1699.33,14389.16,781.03,639.26,4913.38,677.82,39.86,2549.81,6661.86,14046.43
2026-06-10T09:06:36.564494,tp4_i4096_o64,4096,64,100,32,inf,42.96,100,2.33,4871.11,64.71,4935.82,31.44,13508.16,11204.12,27320.32,37832.44,2957.65,1344.73,13089.52,463.35,416.34,1682.29,394.71,29.69,1702.71,2581.03,12753.50
2026-06-10T09:07:32.730499,tp4_i4096_o128,4096,128,100,32,inf,46.17,100,2.17,4532.93,132.30,4665.23,31.38,14486.96,13913.47,26545.24,39299.23,2789.71,914.43,12986.66,236.52,197.35,1164.73,194.92,28.16,960.69,1608.26,12641.09
2026-06-10T09:08:36.407418,tp4_i4096_o256,4096,256,100,32,inf,53.62,100,1.86,3903.02,233.27,4136.29,30.41,16308.04,14608.31,31754.56,41704.73,2696.46,813.33,12528.59,134.84,111.64,670.22,109.76,28.07,729.41,1105.21,12199.79
2026-06-10T09:09:54.666301,tp4_i4096_o512,4096,512,100,32,inf,67.89,100,1.47,3082.42,380.29,3462.72,29.39,19953.37,19262.02,36503.80,43912.61,2587.12,732.66,12399.72,71.03,72.73,140.38,67.54,28.08,275.36,808.67,12067.50
